Age (years),Sex,Height (cm),Initial LBM (kg),Training Experience (years),Training Frequency (sessions per week),Average Reps per Set,Average Load per Exercise (kg),Average Daily Calories (kcal),Average Daily Protein Intake (grams),Average Sleep Duration per Night (hours),Sleep Quality (1–10 scale),Stress Level (1–10 scale),Creatine Supplement Use,Training Duration (Weeks),LBM after the training period (kg)
24,Male,172.3,52.2,0.7,1,4,34.2,2678.0,106.0,5.6,3.3,6.5,No,49,54.4
26,Male,167.2,54.8,7.5,3,11,64.8,2643.0,103.0,8.4,6.5,1.5,No,11,56.4
47,Male,184.4,70.9,0.4,7,6,38.0,2994.0,176.0,6.4,3.3,8.0,Yes,16,71.4
18,Female,150.0,35.8,0.1,4,14,27.8,1981.0,92.0,5.3,1.9,4.8,Yes,36,37.4
38,Male,171.9,57.9,0.8,7,5,34.1,2663.0,174.0,7.5,4.7,4.8,No,45,59.4
25,Male,196.4,72.3,6.2,7,13,61.1,2748.0,224.0,6.9,5.2,5.9,No,50,76.1
25,Female,161.7,46.4,1.3,5,14,42.5,2436.0,115.0,7.4,6.0,4.8,No,37,49.5
19,Male,178.4,65.5,0.1,1,14,64.7,2631.0,109.0,8.5,7.7,1.0,Yes,15,67.5
38,Female,168.2,51.5,2.3,7,15,30.3,1989.0,190.0,5.9,3.3,4.2,No,11,52.6
28,Male,172.5,50.9,9.2,7,11,98.5,2517.0,147.0,5.6,3.0,7.4,No,31,53.7
27,Male,175.1,61.7,0.0,2,12,45.4,2720.0,136.0,6.8,3.5,5.5,No,24,61.0
31,Male,180.2,58.9,1.3,5,7,51.9,2845.0,181.0,7.3,6.0,3.0,Yes,46,63.2
28,Female,159.1,44.6,3.2,3,10,37.6,2454.0,138.0,7.4,5.1,4.0,Yes,7,43.7
18,Male,168.0,52.7,1.2,5,12,75.1,2649.0,98.0,7.7,5.0,1.0,No,19,55.9
25,Female,162.9,45.2,0.8,4,8,33.6,2132.0,135.0,7.3,4.3,6.9,No,39,47.7
39,Male,175.6,61.8,0.5,2,11,72.6,2372.0,100.0,8.8,8.4,1.0,No,37,65.8
18,Male,180.3,64.5,0.3,4,10,25.7,2568.0,165.0,5.4,1.2,8.9,No,11,65.4
19,Male,174.6,58.3,0.2,5,6,66.7,2730.0,144.0,7.1,3.9,1.5,No,44,61.5
26,Male,165.5,52.9,3.0,3,8,95.1,2290.0,98.0,5.7,3.1,7.2,Yes,51,59.6
23,Female,159.4,42.4,0.8,5,11,43.9,2467.0,112.0,9.1,8.4,3.1,Yes,33,45.4
30,Female,169.3,53.5,1.2,6,14,78.9,2575.0,160.0,4.3,1.6,6.4,No,49,58.7
19,Female,172.5,55.7,3.7,1,10,39.9,1966.0,105.0,6.4,3.9,10.0,Yes,46,58.9
26,Male,188.6,66.7,1.0,1,12,44.4,2487.0,117.0,5.4,1.0,10.0,No,7,66.3
30,Male,183.1,66.7,0.2,7,13,107.7,2781.0,185.0,6.5,4.1,8.3,No,13,68.2
36,Male,169.6,54.2,1.1,1,9,48.6,2465.0,98.0,5.7,3.7,6.7,No,42,57.3
42,Female,173.1,55.0,1.7,2,5,58.0,1972.0,131.0,6.0,6.1,3.1,No,44,56.0
27,Male,174.8,61.4,0.0,6,6,77.5,2794.0,146.0,8.7,7.6,2.4,Yes,34,65.6
49,Female,163.8,47.2,1.7,2,8,66.9,2256.0,74.0,7.7,6.7,6.1,No,20,48.4
28,Male,159.9,48.4,0.3,3,12,49.2,2605.0,119.0,7.7,5.4,3.3,Yes,25,51.1
38,Male,171.7,56.9,0.2,6,6,68.8,2900.0,133.0,8.1,7.7,1.4,No,26,57.4
49,Male,173.1,59.7,2.5,5,15,44.3,2324.0,145.0,7.1,5.0,6.1,Yes,31,62.8
31,Male,190.2,73.2,0.3,2,7,39.8,2369.0,136.0,7.0,5.0,7.1,Yes,45,76.6
18,Female,158.1,45.2,0.2,7,7,42.6,2336.0,146.0,6.5,4.1,5.9,Yes,13,46.9
31,Male,171.4,53.1,1.2,6,13,63.0,3188.0,142.0,7.8,7.9,2.0,No,12,54.6
24,Female,165.4,47.3,1.1,1,15,46.2,1580.0,75.0,5.2,2.9,8.4,No,8,47.1
27,Male,180.0,67.2,2.1,4,6,77.0,2680.0,157.0,5.0,1.3,9.8,No,49,70.6
50,Female,162.8,48.0,6.0,2,11,81.7,2102.0,75.0,8.7,8.1,6.9,No,32,49.6
18,Male,172.9,59.9,0.2,1,10,59.1,2771.0,128.0,8.5,7.4,1.0,No,16,61.7
33,Female,172.1,53.7,5.6,3,8,103.4,2343.0,147.0,5.4,2.6,7.3,No,35,57.5
21,Female,161.9,48.5,2.7,1,5,49.2,1841.0,108.0,6.7,6.3,3.7,Yes,52,51.6
27,Female,167.6,51.2,0.6,4,8,50.4,2116.0,122.0,5.9,2.3,4.7,No,17,52.5
37,Male,169.4,49.4,4.5,5,4,92.8,2928.0,153.0,5.2,1.7,6.1,Yes,4,49.9
33,Female,163.6,48.9,0.1,2,12,48.4,2185.0,128.0,7.1,4.9,5.7,No,21,48.2
28,Male,169.3,53.3,8.2,4,14,82.3,2785.0,136.0,7.6,6.5,9.5,Yes,38,55.5
24,Male,171.2,58.0,3.0,4,9,70.3,2212.0,167.0,8.3,5.5,5.3,No,41,61.5
33,Male,183.3,67.0,0.8,3,4,52.6,2301.0,142.0,6.6,5.0,5.4,No,44,68.8
47,Male,184.3,67.7,2.3,4,11,37.7,2906.0,163.0,7.3,4.3,4.5,No,24,67.1
21,Female,166.2,54.2,7.3,6,13,85.9,2309.0,139.0,8.2,6.1,1.8,No,5,54.6
49,Male,178.5,61.8,0.8,4,14,83.9,2665.0,176.0,7.0,4.6,4.8,Yes,10,63.1
42,Female,173.8,56.6,1.2,6,12,79.8,2053.0,131.0,6.8,4.1,8.1,No,21,59.0
44,Female,159.1,45.7,3.7,2,13,51.7,1597.0,82.0,5.9,4.2,5.5,No,41,48.9
33,Male,178.0,58.5,1.2,5,12,61.1,2257.0,146.0,7.0,4.4,8.0,No,28,59.8
42,Female,165.1,49.7,0.3,1,10,15.7,1956.0,141.0,5.8,1.6,10.0,No,26,49.6
20,Male,172.3,53.6,2.1,6,10,36.3,2474.0,166.0,7.5,5.6,6.6,Yes,47,56.3
23,Female,164.8,48.5,0.9,2,9,42.0,2239.0,80.0,6.3,5.4,5.8,Yes,43,49.2
38,Male,168.1,53.7,5.7,6,4,102.4,2838.0,172.0,8.9,7.9,2.2,No,16,55.2
33,Female,164.7,54.0,0.2,6,4,32.6,2432.0,155.0,6.5,3.7,8.2,Yes,51,57.3
29,Female,164.7,44.8,1.4,2,15,24.1,2069.0,111.0,8.5,8.6,1.0,No,44,46.9
18,Female,160.0,47.5,2.7,2,10,47.3,2108.0,110.0,6.9,6.3,3.4,No,34,49.8
26,Male,171.4,55.0,4.5,4,4,59.0,2514.0,167.0,5.9,3.2,9.4,Yes,37,56.7
18,Male,175.0,65.7,2.8,1,9,57.7,2397.0,137.0,6.6,4.3,6.2,No,36,69.2
35,Male,177.1,60.2,5.5,7,13,63.9,2976.0,178.0,5.9,3.0,5.3,No,5,60.1
28,Male,173.2,55.3,2.8,6,10,83.7,2933.0,158.0,6.8,3.5,2.1,No,37,59.2
24,Male,182.9,65.5,0.7,4,14,44.1,2646.0,150.0,4.0,1.0,6.9,No,25,66.8
56,Female,155.1,43.7,3.6,6,4,79.8,2095.0,145.0,7.7,8.3,3.1,No,10,42.5
40,Male,169.3,52.9,1.6,7,8,47.3,2519.0,178.0,4.4,1.0,6.9,No,46,56.0
41,Male,173.8,59.1,2.5,1,6,45.1,2556.0,132.0,6.5,5.9,1.8,No,33,63.2
52,Female,170.6,50.9,0.7,1,13,40.7,2168.0,106.0,7.0,4.4,7.3,No,48,52.0
38,Female,161.3,45.7,8.0,6,14,41.4,2033.0,129.0,6.8,5.1,3.6,No,50,46.1
22,Male,177.8,63.4,1.9,3,13,45.6,2409.0,154.0,6.5,5.4,4.4,Yes,35,66.1
21,Male,179.4,66.5,3.9,1,15,88.8,2121.0,145.0,6.0,4.3,4.6,Yes,49,71.4
40,Male,181.6,66.6,4.9,7,12,61.2,2726.0,204.0,5.0,1.0,7.7,No,10,65.1
18,Male,179.7,66.9,1.5,2,6,53.6,2287.0,141.0,6.9,5.3,5.7,No,4,69.5
29,Female,155.2,40.3,2.8,1,13,39.0,2483.0,64.0,6.5,4.4,3.6,No,15,42.5
18,Male,177.1,59.6,5.3,4,6,90.8,2762.0,165.0,8.2,6.7,1.6,No,31,63.1
31,Female,153.9,43.0,0.6,4,8,47.2,2148.0,113.0,7.6,5.6,1.7,No,29,43.3
39,Female,169.5,51.5,0.7,2,6,48.5,1790.0,139.0,8.8,8.6,1.0,Yes,4,51.5
33,Female,172.0,56.2,3.9,4,8,43.6,1820.0,170.0,8.3,6.9,1.0,No,11,57.0
39,Male,187.9,64.7,0.8,4,12,86.7,2764.0,156.0,7.4,6.2,3.1,No,46,68.8
50,Male,179.3,70.6,0.5,6,5,71.5,2916.0,176.0,7.8,7.6,3.1,No,4,70.0
29,Female,158.6,42.9,0.1,4,11,60.6,2207.0,118.0,7.4,5.8,5.7,No,21,43.5
58,Male,181.4,66.5,1.0,4,8,62.4,2765.0,119.0,5.7,2.7,6.5,No,35,69.1
32,Male,178.6,60.1,4.2,4,11,55.3,2445.0,142.0,5.1,1.5,6.3,Yes,35,63.2
39,Male,171.8,59.7,0.6,5,4,48.3,2707.0,167.0,6.7,3.2,6.4,No,30,61.1
24,Male,178.7,66.6,9.4,7,12,105.6,3020.0,216.0,7.4,4.8,7.5,No,19,68.5
46,Female,154.4,40.5,0.1,5,6,76.6,2312.0,108.0,7.4,6.4,3.1,No,20,43.1
40,Male,189.8,73.6,0.5,3,9,50.0,2793.0,162.0,6.1,2.4,1.9,Yes,33,74.9
45,Male,178.7,61.0,1.7,5,13,73.2,3079.0,156.0,7.3,4.1,6.9,Yes,36,64.1
31,Male,170.4,58.1,3.2,4,13,49.7,2891.0,139.0,6.8,3.8,8.3,No,39,61.7
18,Female,154.1,39.0,1.6,5,5,53.6,2103.0,136.0,8.1,6.1,1.0,No,35,41.5
35,Female,165.5,50.2,0.1,1,12,13.6,1939.0,97.0,6.8,4.5,8.4,No,30,51.7
18,Female,155.0,41.1,1.0,5,5,40.7,2235.0,126.0,9.4,9.7,1.5,No,47,44.2
27,Male,196.0,79.0,3.9,5,4,60.8,2512.0,235.0,8.1,4.9,7.4,No,41,82.2
32,Male,166.8,56.3,0.2,1,13,73.0,2393.0,114.0,7.7,8.8,2.0,No,15,58.1
54,Male,183.5,67.7,1.4,5,12,75.4,2690.0,160.0,8.2,7.1,2.9,Yes,32,71.5
33,Female,159.0,38.8,2.1,7,10,39.4,2439.0,110.0,6.5,4.4,6.8,Yes,43,41.8
31,Female,161.2,42.0,11.0,3,13,70.9,1981.0,136.0,7.8,6.4,8.0,No,25,44.7
29,Female,169.4,55.2,0.5,5,13,44.3,2033.0,124.0,7.7,7.0,3.4,No,43,58.5
18,Male,173.8,59.6,5.8,3,15,42.4,2678.0,135.0,6.7,3.8,7.1,Yes,24,61.0
31,Female,164.6,50.8,1.2,1,5,25.6,1781.0,111.0,8.9,9.1,2.5,Yes,16,51.1
31,Male,167.2,48.4,0.1,1,7,28.2,2264.0,68.0,8.6,8.1,2.9,No,34,50.0
20,Female,172.0,55.2,3.8,3,6,42.8,2017.0,125.0,8.5,7.7,2.7,No,43,56.4
18,Male,175.1,58.3,0.2,4,6,80.2,2799.0,150.0,7.7,5.7,4.0,No,7,59.8
25,Female,160.9,44.0,0.2,6,8,53.9,2417.0,156.0,7.7,5.5,6.8,No,8,44.5
31,Male,180.6,64.4,0.0,2,5,56.1,2543.0,110.0,8.7,7.5,2.3,Yes,28,68.9
25,Male,164.9,50.3,1.0,6,5,76.1,2447.0,142.0,8.0,7.6,4.1,Yes,6,51.9
19,Female,166.3,56.1,0.5,3,14,53.5,2358.0,120.0,8.4,8.2,1.0,Yes,49,60.0
33,Male,184.6,66.7,0.4,2,5,20.3,2330.0,96.0,8.1,8.0,2.4,No,18,68.0
35,Female,174.1,53.2,3.9,1,12,50.0,2126.0,131.0,9.7,10.0,1.0,No,36,54.9
31,Female,161.7,54.5,1.3,7,10,54.9,1788.0,161.0,7.6,7.0,1.0,No,17,55.7
24,Female,161.4,43.4,1.2,1,5,35.4,2112.0,91.0,8.7,6.8,2.7,No,41,45.5
36,Male,180.6,67.0,3.3,4,14,68.7,2500.0,118.0,6.3,5.2,3.6,No,25,69.2
28,Male,190.1,69.8,1.1,1,14,26.5,2555.0,103.0,8.1,7.0,4.9,No,42,71.2
18,Female,162.1,48.2,0.3,5,9,67.3,2495.0,143.0,6.2,3.7,7.6,No,4,47.0
40,Male,185.1,69.3,0.2,7,6,45.9,2880.0,169.0,7.3,5.9,4.6,No,17,69.6
34,Female,166.2,51.7,0.8,6,4,30.9,2476.0,155.0,8.1,7.7,3.6,Yes,18,52.0
29,Male,174.2,56.3,2.7,5,4,52.7,2586.0,160.0,8.3,6.1,3.8,No,8,58.6
18,Male,177.6,62.8,1.8,4,14,67.9,2661.0,161.0,4.7,2.3,7.4,No,14,62.2
23,Male,183.1,64.3,4.1,1,10,37.2,2257.0,123.0,7.9,6.5,5.5,Yes,15,66.7
50,Male,165.9,54.7,0.3,3,12,28.0,2472.0,117.0,5.6,4.7,8.6,Yes,16,57.2
18,Male,181.6,68.2,1.3,2,4,52.3,2621.0,151.0,7.5,7.8,1.7,Yes,50,71.2
27,Female,162.7,45.0,3.5,4,14,22.9,2295.0,124.0,4.6,1.0,10.0,Yes,42,45.0
30,Female,163.2,45.2,2.6,6,7,73.8,2363.0,160.0,6.7,5.1,6.1,No,30,50.0
33,Male,182.7,62.9,0.7,3,10,59.5,2710.0,124.0,6.8,3.7,8.1,No,44,65.5
18,Female,158.4,40.8,0.6,3,10,59.3,1925.0,134.0,8.1,8.3,4.1,No,35,43.0
32,Male,177.3,58.2,1.1,4,11,26.6,2256.0,170.0,7.2,5.2,2.2,Yes,43,59.8
18,Female,162.8,45.9,0.0,5,11,48.3,1946.0,121.0,5.9,3.6,7.3,No,30,47.8
31,Female,160.1,44.4,0.3,7,7,13.5,2309.0,158.0,8.5,7.7,5.1,No,47,44.5
23,Female,171.6,59.6,0.9,4,12,50.1,2145.0,141.0,7.6,6.7,3.0,No,33,63.1
21,Male,165.3,53.8,2.6,3,11,45.4,2529.0,168.0,7.8,7.1,2.2,No,32,57.6
38,Male,172.0,55.2,2.0,5,8,114.6,2766.0,149.0,6.7,2.6,6.5,No,16,56.9
28,Male,190.6,76.2,10.1,3,6,60.6,2394.0,180.0,7.1,6.0,3.2,No,35,78.1
35,Female,160.1,43.0,0.8,3,5,48.3,2064.0,100.0,7.8,6.8,2.3,No,37,45.9
35,Male,162.3,49.6,3.9,6,12,32.7,2429.0,146.0,8.6,8.4,1.8,Yes,47,53.1
43,Female,162.0,46.1,0.8,7,9,34.6,2626.0,138.0,8.1,6.4,4.9,No,25,46.3
18,Male,168.9,57.6,0.6,4,4,26.3,2548.0,150.0,7.6,5.1,4.5,No,29,59.0
39,Female,168.7,48.2,1.4,6,15,51.3,2011.0,141.0,5.7,3.5,7.6,No,16,49.8
30,Male,186.0,70.3,1.3,5,11,105.2,2928.0,165.0,8.9,8.7,1.4,Yes,34,73.3
26,Male,177.7,60.3,0.7,3,11,29.0,2552.0,119.0,6.7,4.2,9.7,No,19,62.1
19,Male,170.0,56.4,4.4,4,5,20.5,2518.0,151.0,6.9,4.8,4.4,No,38,57.3
36,Male,172.0,56.6,5.3,4,7,89.0,2516.0,146.0,8.0,6.3,5.8,Yes,24,59.7
21,Male,181.4,65.2,1.5,6,12,79.0,2612.0,177.0,7.7,5.2,4.1,No,30,67.8
35,Female,165.5,50.4,2.1,3,14,44.6,1709.0,118.0,4.0,1.0,8.8,No,9,50.3
49,Male,172.9,54.9,2.3,5,4,51.9,2772.0,167.0,6.8,2.9,5.6,No,31,56.4
40,Male,180.6,59.2,0.7,7,7,69.2,2906.0,208.0,6.8,5.4,3.5,No,41,63.8
44,Female,168.1,51.8,2.3,7,11,89.5,2013.0,160.0,6.3,2.2,6.1,Yes,18,52.5
23,Male,186.9,72.8,1.0,6,10,43.7,3053.0,201.0,6.8,4.7,3.8,No,21,73.1
38,Female,165.1,47.9,1.1,1,15,56.2,1822.0,86.0,7.8,5.4,2.8,Yes,37,50.5
19,Female,156.8,41.2,4.2,5,4,62.9,2336.0,119.0,8.4,7.5,4.4,Yes,10,40.2
28,Male,171.6,60.8,1.6,6,8,79.0,2777.0,170.0,7.2,5.2,5.3,No,28,62.7
47,Male,179.2,67.5,5.4,1,12,53.0,2416.0,111.0,5.1,1.2,9.1,No,40,68.8
24,Male,183.0,68.5,2.6,4,15,75.9,2578.0,157.0,7.2,6.2,2.3,Yes,28,72.3
41,Female,166.6,50.3,1.6,7,5,80.4,2639.0,157.0,5.7,2.7,7.7,No,31,53.8
40,Female,164.7,43.4,2.4,6,11,88.9,2469.0,155.0,7.0,5.6,4.8,Yes,11,43.5
41,Female,165.7,50.8,0.8,1,11,31.9,1791.0,122.0,8.7,9.2,1.0,Yes,28,52.8
18,Female,168.6,53.1,1.2,4,10,89.9,1981.0,140.0,7.6,6.4,1.2,Yes,47,58.2
35,Male,179.7,61.4,1.2,4,7,48.8,2576.0,158.0,6.1,3.0,4.4,No,5,61.0
28,Female,164.4,50.0,3.5,1,4,55.0,2097.0,99.0,5.7,3.5,7.5,No,40,52.1
41,Female,165.5,48.7,0.8,5,6,74.5,2154.0,135.0,8.0,7.4,5.6,No,36,51.8
18,Female,161.2,46.2,1.6,3,11,61.7,2262.0,114.0,8.8,8.3,1.0,No,14,47.7
34,Female,151.2,36.7,1.1,7,14,37.7,2390.0,102.0,5.3,2.9,6.6,No,46,37.6
32,Female,157.9,43.4,5.7,6,10,39.8,2141.0,132.0,7.7,5.6,3.7,No,45,46.1
18,Male,180.9,64.7,3.9,1,8,47.5,2605.0,147.0,9.0,7.9,3.2,No,44,66.5
21,Male,164.6,50.0,5.4,1,8,75.7,2506.0,84.0,6.5,4.9,3.3,No,48,54.6
18,Male,180.5,66.2,1.2,6,8,57.3,2820.0,150.0,6.0,3.8,8.2,No,43,68.9
23,Male,171.5,51.5,1.0,2,9,48.0,2257.0,138.0,7.0,4.9,5.4,No,15,52.8
35,Female,169.7,51.5,0.6,5,8,61.3,2484.0,185.0,7.2,4.2,6.9,Yes,41,54.5
32,Male,178.2,59.5,0.5,2,4,47.5,2311.0,124.0,8.5,6.8,4.2,No,40,61.6
32,Female,164.7,46.8,1.2,2,4,33.1,2006.0,120.0,6.7,4.8,7.2,No,17,47.4
20,Male,183.4,62.2,0.4,4,5,83.9,2543.0,160.0,7.2,5.0,4.2,Yes,27,65.0
41,Male,186.5,68.0,11.1,7,15,76.9,2760.0,180.0,7.0,6.2,2.6,No,20,69.3
30,Female,166.0,51.4,0.4,7,7,29.0,2363.0,158.0,8.4,7.3,1.0,No,39,52.4
30,Female,174.4,57.9,2.8,2,7,53.6,1914.0,121.0,7.5,4.0,4.1,No,28,59.8
39,Male,180.5,62.3,3.6,7,6,90.4,2924.0,172.0,6.5,3.0,8.0,Yes,50,66.8
20,Male,181.8,62.7,6.4,5,13,51.2,2409.0,140.0,7.7,4.7,1.9,Yes,16,65.4
32,Male,193.5,77.9,0.7,4,12,56.2,2418.0,138.0,7.5,5.0,5.8,Yes,41,82.6
34,Male,183.2,72.3,4.2,3,13,53.8,2458.0,165.0,5.8,3.2,6.2,No,23,74.3
25,Male,193.8,72.3,0.7,3,9,69.9,2562.0,156.0,5.4,2.9,8.8,No,6,70.7
37,Male,177.1,53.8,1.4,5,14,55.9,2535.0,139.0,5.2,2.5,5.7,No,48,56.8
35,Female,165.1,47.4,1.7,2,7,17.4,2174.0,82.0,7.6,7.5,2.3,No,33,48.0
29,Female,174.0,55.3,1.4,3,9,41.1,2092.0,121.0,8.1,7.7,4.4,No,34,56.8
29,Female,168.8,53.8,0.4,6,8,66.5,2165.0,147.0,5.9,2.8,7.6,Yes,14,54.2
35,Female,163.5,48.8,9.1,4,12,65.8,2267.0,134.0,7.9,6.6,2.7,No,35,50.0
38,Male,172.9,64.2,0.4,2,8,45.4,2662.0,161.0,5.6,2.6,9.2,No,37,67.1
31,Female,159.6,44.8,0.1,1,6,17.5,1774.0,113.0,9.7,9.7,1.0,Yes,39,45.9
41,Male,172.3,60.2,0.0,4,12,53.1,2481.0,189.0,7.1,5.5,5.8,Yes,43,63.4
37,Female,163.2,49.4,2.8,7,11,54.9,2574.0,158.0,7.4,5.3,1.0,No,51,51.1
18,Male,177.5,63.4,0.1,1,13,36.3,2490.0,133.0,5.4,1.4,9.3,No,32,64.0
18,Male,177.5,67.1,0.5,5,8,83.7,2674.0,198.0,8.8,8.8,2.9,No,16,68.5
42,Female,169.0,52.8,1.5,7,10,59.8,2302.0,127.0,8.6,7.4,2.8,No,6,53.1
28,Female,155.2,38.7,0.5,2,14,10.0,1645.0,73.0,5.8,1.5,8.1,Yes,29,39.7
32,Female,160.9,42.2,3.5,7,13,25.1,2356.0,160.0,8.9,8.0,2.1,No,44,42.6
41,Female,168.2,54.4,1.3,4,11,83.6,2410.0,126.0,6.0,3.6,9.1,Yes,49,58.6
30,Male,179.6,60.2,4.4,3,4,62.3,2230.0,109.0,6.2,3.5,3.9,No,45,64.4
30,Male,171.0,58.1,4.4,4,4,64.7,2705.0,132.0,7.1,5.0,4.5,Yes,43,61.1
21,Male,189.4,73.3,1.3,2,13,82.0,2202.0,167.0,5.8,1.9,3.9,No,23,77.5
34,Female,172.0,53.3,0.5,1,10,59.3,2259.0,133.0,9.6,9.7,1.0,No,51,57.5
36,Female,169.7,50.7,0.9,1,7,33.3,1862.0,91.0,9.3,8.6,1.0,Yes,15,50.7
24,Male,164.7,52.0,4.3,7,11,86.7,2840.0,145.0,7.4,5.9,3.5,Yes,19,56.3
21,Female,161.9,51.3,3.5,5,12,90.5,2174.0,132.0,5.2,1.0,8.1,Yes,45,56.6
56,Female,173.1,56.9,0.5,2,4,61.8,1771.0,147.0,7.6,6.5,6.3,No,27,58.7
29,Male,183.3,63.2,1.4,3,8,58.1,2286.0,180.0,7.2,4.6,5.9,Yes,6,63.8
23,Female,156.4,39.2,2.7,6,6,46.1,2048.0,97.0,5.5,3.8,4.4,No,36,41.0
37,Female,175.2,55.9,0.7,7,9,54.5,2512.0,217.0,5.6,1.7,6.7,No,39,59.1
29,Female,166.2,49.7,2.4,7,7,84.0,2478.0,132.0,4.2,1.0,7.9,No,44,53.7
19,Male,193.6,74.9,0.2,3,8,61.1,2574.0,174.0,7.0,6.0,3.3,No,9,75.7
35,Male,177.2,63.6,1.5,3,10,82.7,2604.0,185.0,6.8,6.6,3.2,No,34,66.6
21,Male,176.4,58.9,1.0,1,12,36.1,2597.0,104.0,6.0,4.4,4.2,No,36,60.1
46,Male,173.4,60.6,0.1,1,9,42.3,2206.0,126.0,5.2,1.4,8.8,Yes,33,63.1
35,Female,163.5,50.2,3.6,6,9,34.5,2430.0,128.0,8.5,7.8,1.0,No,45,51.2
27,Male,182.0,71.2,0.7,4,9,98.8,2459.0,201.0,7.5,4.8,5.1,No,52,77.5
31,Female,173.8,53.5,0.4,2,4,64.5,2070.0,75.0,7.9,7.3,2.0,Yes,35,57.2
39,Male,168.9,50.2,1.7,5,5,37.7,2555.0,97.0,6.1,3.9,6.8,No,44,52.8
32,Male,165.2,51.7,4.4,6,7,65.6,2553.0,152.0,4.6,1.0,10.0,No,25,53.4
51,Male,176.3,62.8,3.5,2,8,45.5,2921.0,129.0,7.2,4.4,2.4,Yes,28,65.1
41,Female,167.6,49.6,0.3,7,8,56.6,2535.0,173.0,7.7,6.1,6.0,No,39,51.0
35,Female,167.6,52.8,1.1,5,10,53.1,1944.0,152.0,7.6,4.8,3.9,No,9,52.6
21,Male,184.5,67.8,6.0,5,15,104.9,2512.0,167.0,5.5,1.1,9.6,No,35,71.4
29,Female,158.6,46.2,0.4,6,5,62.8,2543.0,144.0,8.3,9.0,1.0,Yes,30,50.3
35,Male,187.4,66.8,1.6,7,8,74.8,3129.0,135.0,7.7,6.8,4.7,No,47,71.4
22,Male,166.7,50.4,0.0,7,4,89.1,2793.0,151.0,5.7,4.0,6.6,No,21,53.1
43,Male,170.0,50.3,0.2,1,7,83.7,2473.0,85.0,8.8,7.5,1.0,No,20,51.5
20,Male,172.6,62.7,0.6,2,15,58.9,2794.0,129.0,6.7,5.5,6.0,No,47,65.8
24,Female,161.5,49.1,0.6,4,8,14.3,1760.0,118.0,8.5,6.0,2.8,No,18,49.3
24,Male,177.4,55.7,1.6,7,15,83.1,2718.0,196.0,6.8,4.4,3.6,Yes,44,60.1
37,Male,189.8,70.7,0.4,3,12,18.2,2465.0,162.0,6.9,3.9,4.4,No,18,71.5
22,Male,181.4,68.8,1.9,2,11,47.5,2627.0,149.0,7.9,8.2,1.0,No,47,71.2
18,Female,158.5,41.9,4.2,7,6,86.9,2452.0,168.0,6.4,4.8,4.2,Yes,6,44.0
41,Male,181.0,66.3,3.4,4,5,73.8,2664.0,145.0,6.7,4.3,2.2,No,34,66.9
26,Female,158.5,46.9,2.6,6,13,18.7,2297.0,153.0,6.8,5.0,5.0,No,30,47.2
19,Male,162.6,53.2,0.2,2,10,66.6,2507.0,117.0,8.0,8.5,3.7,No,7,54.4
22,Male,178.8,55.2,0.6,1,12,54.9,2245.0,118.0,7.7,5.4,2.8,No,13,56.6
47,Female,158.0,42.6,0.8,6,7,49.6,2064.0,172.0,7.6,4.0,6.7,No,5,42.6
23,Male,190.5,73.7,2.2,2,4,73.7,2361.0,138.0,5.5,1.3,10.0,No,40,76.1
29,Female,155.7,43.7,0.7,4,4,47.9,2184.0,123.0,7.1,4.4,4.8,Yes,4,42.8
26,Male,179.6,65.3,0.0,2,14,35.1,2448.0,152.0,6.7,5.0,5.0,No,43,66.7
18,Female,169.1,49.9,3.0,1,15,52.0,1905.0,76.0,8.4,8.0,4.0,No,49,52.8
23,Male,179.4,60.6,4.5,4,7,41.7,2170.0,136.0,5.6,2.2,6.1,Yes,36,64.0
18,Female,163.8,47.4,2.4,7,12,27.1,1892.0,145.0,6.9,4.5,6.0,No,50,48.9
40,Male,172.6,50.8,0.8,1,9,57.9,1905.0,90.0,7.5,5.8,2.8,No,30,51.9
31,Male,182.8,69.0,2.1,1,6,63.2,2468.0,129.0,6.9,5.5,4.1,No,27,71.7
55,Male,180.9,64.2,2.5,6,8,95.5,3171.0,168.0,8.9,7.0,5.6,No,9,64.9
23,Male,185.2,63.7,0.3,4,9,52.7,2745.0,135.0,7.6,5.0,6.1,No,18,65.0
21,Male,173.4,58.0,3.7,7,5,63.9,2385.0,222.0,4.5,2.3,7.8,No,40,60.6
45,Male,168.7,53.5,2.7,1,6,35.0,2233.0,109.0,6.8,5.9,5.0,No,31,54.8
41,Female,162.8,46.4,1.5,7,8,27.0,2498.0,158.0,7.5,6.6,2.9,Yes,26,47.1
34,Female,164.2,50.6,0.3,1,13,10.0,2185.0,83.0,7.7,3.7,4.6,Yes,28,52.5
19,Female,162.2,49.9,3.5,7,9,68.6,2397.0,137.0,6.0,3.9,8.4,No,45,53.8
47,Female,162.4,49.3,0.9,3,7,64.1,2278.0,127.0,6.9,4.5,8.8,No,12,49.8
29,Male,170.6,56.9,0.4,5,10,78.3,2662.0,128.0,6.4,4.3,8.5,No,22,59.1
26,Male,177.1,61.5,9.7,2,14,79.0,2910.0,128.0,5.4,1.4,7.6,Yes,43,64.6
41,Male,168.7,55.5,1.9,1,6,47.6,2151.0,99.0,5.9,3.9,4.0,Yes,16,56.6
30,Female,161.8,43.5,3.1,1,5,41.4,2112.0,99.0,6.3,3.9,8.2,No,31,45.3
